Field,Type,Null,Key,Default,Extra
Code,char(3),NO,PRI,,
Name,char(52),NO,,,
Continent,"enum('Asia','Europe','North America','Africa','Oceania','Antarctica','South America')",NO,,Asia,
Region,char(26),NO,,,
SurfaceArea,"decimal(10,2)",NO,,0.00,
IndepYear,smallint,YES,,NULL,
Population,int,NO,,0,
LifeExpectancy,"decimal(3,1)",YES,,NULL,
GNP,"decimal(10,2)",YES,,NULL,
GNPOld,"decimal(10,2)",YES,,NULL,
LocalName,char(45),NO,,,
GovernmentForm,char(45),NO,,,
HeadOfState,char(60),YES,,NULL,
Capital,int,YES,,NULL,
Code2,char(2),NO,,,
